Orden;NumHilos;Tiempo(s);Rendimiento(GOP/s)
500;2;0,068568;3,646
500;4;0,041778;5,984
500;8;0,036162;6,913
500;16;0,023423;10,673
1000;2;0,228502;8,753
1000;4;0,155724;12,843
1000;8;0,110757;18,058
1000;16;0,088950;22,484
1500;2;0,774168;8,719
1500;4;0,459957;14,675
1500;8;0,308784;21,860
1500;16;0,210652;32,043
500;2;0,024113;10,368
500;4;0,014491;17,252
500;8;0,012495;20,007
500;16;0,010162;24,601
1000;2;0,208466;9,594
1000;4;0,131343;15,227
1000;8;0,111630;17,916
1000;16;0,078419;25,504
1500;2;0,776106;8,697
1500;4;0,443233;15,229
1500;8;0,275282;24,520
1500;16;0,222498;30,337
500;2;0,024654;10,140
500;4;0,019545;12,791
500;8;0,016549;15,106
500;16;0,018463;13,541
1000;2;0,201124;9,944
1000;4;0,162776;12,287
1000;8;0,099709;20,058
1000;16;0,084127;23,774
1500;2;0,723417;9,331
1500;4;0,425715;15,856
1500;8;0,274015;24,634
1500;16;0,216456;31,184
500;2;0,024414;10,240
500;4;0,014403;17,358
500;8;0,011085;22,554
500;16;0,009988;25,029
1000;2;0,237952;8,405
1000;4;0,142478;14,037
1000;8;0,100988;19,804
1000;16;0,086014;23,252
1500;2;0,795432;8,486
1500;4;0,452653;14,912
1500;8;0,266827;25,297
1500;16;0,253635;26,613
500;2;0,025477;9,813
500;4;0,019870;12,582
500;8;0,019029;13,138
500;16;0,009434;26,501
1000;2;0,184044;10,867
1000;4;0,148092;13,505
1000;8;0,084239;23,742
1000;16;0,078265;25,554
1500;2;0,711795;9,483
1500;4;0,452115;14,930
1500;8;0,267156;25,266
1500;16;0,227423;29,680
500;2;0,024188;10,336
500;4;0,029399;8,504
500;8;0,015407;16,227
500;16;0,010061;24,848
1000;2;0,183757;10,884
1000;4;0,135895;14,717
1000;8;0,097026;20,613
1000;16;0,078355;25,525
1500;2;0,792704;8,515
1500;4;0,482789;13,981
1500;8;0,265464;25,427
1500;16;0,220050;30,675
500;2;0,024080;10,382
500;4;0,012992;19,242
500;8;0,013798;18,119
500;16;0,009999;25,004
1000;2;0,226180;8,843
1000;4;0,131967;15,155
1000;8;0,082228;24,323
1000;16;0,075936;26,338
1500;2;0,760623;8,874
1500;4;0,477010;14,151
1500;8;0,265089;25,463
1500;16;0,280568;24,058
500;2;0,025358;9,859
500;4;0,014335;17,440
500;8;0,012079;20,698
500;16;0,010394;24,053
1000;2;0,219342;9,118
1000;4;0,147376;13,571
1000;8;0,089167;22,430
1000;16;0,075685;26,425
1500;2;0,740075;9,121
1500;4;0,477414;14,139
1500;8;0,272455;24,775
1500;16;0,229867;29,365
500;2;0,023906;10,458
500;4;0,013408;18,646
500;8;0,011994;20,843
500;16;0,010626;23,527
1000;2;0,224835;8,895
1000;4;0,154635;12,934
1000;8;0,085759;23,321
1000;16;0,075995;26,317
1500;2;0,777693;8,680
1500;4;0,435983;15,482
1500;8;0,259803;25,981
1500;16;0,224580;30,056
500;2;0,024074;10,384
500;4;0,013296;18,802
500;8;0,013066;19,133
500;16;0,011339;22,047
1000;2;0,214261;9,334
1000;4;0,193612;10,330
1000;8;0,088809;22,520
1000;16;0,080745;24,769
1500;2;0,736786;9,161
1500;4;0,445047;15,167
1500;8;0,271473;24,864
1500;16;0,267097;25,272
